deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=4",4,11580,sum,54,53.6729,35.7752,16.2308,1.66683,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,55,54.0604,36.2345,16.2126,1.61335,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,56,53.9817,36.172,16.1408,1.66882,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,57,52.3809,35.7865,14.9406,1.65383,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,58,52.6048,35.5953,15.3714,1.63807,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,59,52.1322,35.2754,15.2347,1.62213,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,60,52.9728,35.2143,16.1578,1.60078,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,61,52.3511,35.335,15.3742,1.64193,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,62,52.8373,35.2109,15.9937,1.63268,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,63,52.9964,35.1882,16.1712,1.63707,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,64,52.457,35.4053,15.4106,1.64113,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,65,52.3801,35.2652,15.4359,1.67908,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,66,52.5951,35.7439,15.1997,1.65153,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,67,52.2157,35.4012,15.1772,1.63735,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,68,52.3944,35.5109,15.266,1.61757,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,69,52.5273,35.832,15.0672,1.6281,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,70,52.508,35.3028,15.4853,1.71997,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,71,53.4518,35.7444,16.0389,1.66861,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,72,52.48,35.3564,15.4935,1.63013,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,73,52.475,35.9337,14.9032,1.6381,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,74,52.9827,35.5104,15.8456,1.62677,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,75,53.2241,35.3737,16.223,1.6274,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
