N,n_parties,threads,construction,eval_ms_median,eval_ms_p25,eval_ms_p75,eval_ms_min,eval_ms_max,reps,key_bytes_party0,key_bytes_max,uplink_bytes_total,evals_per_sec,cpu,aes,p
100000,2,1,bgi16-tree,4.03115,4.02651,4.03624,4.01827,4.03914,11,317,317,634,2.48068e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,2,bgi16-tree,3.09957,3.0948,3.10397,3.08246,3.10729,11,317,317,634,3.22625e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,4,bgi16-tree,2.4419,2.43616,2.45437,2.41778,2.46493,11,317,317,634,4.09518e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,8,bgi16-tree,2.03749,2.02663,2.04669,2.02468,2.04841,11,317,317,634,4.90801e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,16,bgi16-tree,1.85108,1.84092,1.8577,1.83143,1.871,11,317,317,634,5.40224e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,32,bgi16-tree,1.87077,1.86247,1.87823,1.85636,1.89376,11,317,317,634,5.34539e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,64,bgi16-tree,2.36906,2.35746,2.37616,2.35427,2.41832,11,317,317,634,4.22109e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,1,nparty-explicit,0.352549,0.345997,0.361155,0.345817,0.44802,11,32,800016,800048,2.83649e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,2,nparty-explicit,0.240988,0.224095,0.247841,0.218365,0.251667,11,32,800016,800048,4.14958e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,4,nparty-explicit,0.224155,0.218194,0.230117,0.217833,0.231589,11,32,800016,800048,4.4612e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,8,nparty-explicit,0.218664,0.218354,0.231139,0.217874,0.236649,11,32,800016,800048,4.57323e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,16,nparty-explicit,0.218333,0.217724,0.229937,0.217393,0.23119,11,32,800016,800048,4.58016e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,32,nparty-explicit,0.218546,0.218395,0.223454,0.217323,0.231118,11,32,800016,800048,4.5757e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,2,64,nparty-explicit,0.218594,0.218054,0.223664,0.217433,0.231951,11,32,800016,800048,4.57469e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,3,1,nparty-explicit,0.338212,0.33198,0.342581,0.33183,0.349814,11,32,800016,800080,2.95673e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,3,2,nparty-explicit,0.218535,0.218195,0.228593,0.217533,0.232791,11,32,800016,800080,4.57593e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,3,4,nparty-explicit,0.222342,0.217622,0.227932,0.217202,0.229135,11,32,800016,800080,4.49758e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
100000,3,8,nparty-explicit,0.218435,0.217652,0.224707,0.217152,0.22704,11,32,800016,800080,4.57802e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
