deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=2",2,11580,sum,48,41.2405,34.6262,5.23798,1.37627,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,49,44.2524,34.3484,8.51379,1.39023,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,50,41.3356,31.7477,8.181,1.4069,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,51,40.8982,34.8637,4.65436,1.38019,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,52,45.0263,34.8568,8.76476,1.40484,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,53,40.9665,35.0875,4.51052,1.36852,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,54,44.8217,34.8606,8.56294,1.39807,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,55,41.0612,34.951,4.73015,1.38001,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,56,44.858,35.0369,8.43296,1.38818,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,57,41.4948,34.8107,5.24782,1.43623,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,58,44.7468,34.7339,8.67576,1.33714,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,59,45.2601,35.5133,8.51908,1.22772,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,60,44.2385,34.779,8.24075,1.21879,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,61,44.1184,35.0965,7.8009,1.22093,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,62,43.7761,34.1025,8.43197,1.2416,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,63,44.9196,35.1837,8.51059,1.22529,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,64,41.8553,35.4089,5.25213,1.19431,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,65,44.4419,34.7248,8.4945,1.22258,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,66,44.297,34.7913,8.29644,1.2093,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,67,41.3339,31.844,8.28368,1.20624,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,68,41.3622,34.3885,5.72464,1.24914,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,69,44.901,34.9919,8.70009,1.20896,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,70,44.5445,34.9712,8.39052,1.18273,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,71,44.568,34.9663,8.39677,1.20492,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
